Landmarkcoord1_,Landmarkcoord2_,Landmarkcoord3_
-32.4696,31.1601,-57.2356
-18.1864,-17.5989,56.9125
-2.03061,6.56883,31.2604
-36.6416,7.8357,-23.6308
52.7217,-3.96039,37.6133
36.3848,27.4289,-19.9713
-21.8639,-0.0686152,8.53288
-68.0359,-20.5513,39.0794
-46.5694,-45.5491,34.5651
-16.0129,-13.8567,-0.0948395
-57.3165,20.9138,8.6091
41.8142,10.8775,0.404408
52.2073,17.8828,6.56169
-55.9462,44.5504,36.4619
-0.622034,37.2405,16.1201
-8.7621,-3.30809,2.69003
-23.9046,23.4835,-11.7369
25.6804,82.3967,25.9346
-3.63597,-2.51865,-2.60211
-32.8218,25.3393,-44.0678
1.76568,-35.1594,28.9788
56.1825,-18.5353,37.7485
42.8076,-43.4074,13.8703
2.89098,-7.46346,-12.0578
-10.6812,-24.184,21.2186
53.8856,-48.0814,-3.43253
-14.2532,10.1583,-0.908809
30.0023,-17.271,-34.2158
-5.559,-40.7119,-41.2187
31.0179,-64.7012,-68.364
22.6328,-3.42807,-22.6266
-24.7799,-18.0855,13.1378
20.9225,-57.4162,68.7205
-23.8918,15.5191,-59.7058
7.9131,-4.45901,23.3098
0.204762,-0.607002,-0.889515
22.9903,-26.8492,-85.4006
7.24068,-8.43963,49.3662
-9.77955,-12.2509,-9.65426
67.578,-0.367064,-23.245
-16.2255,-12.045,-10.6575
4.19153,-2.1618,-5.02913
-21.0203,35.2815,28.6258
-15.5523,-65.5843,33.6233
-55.6172,22.9562,31.5397
58.5177,-59.0467,-11.7915
-11.2394,-56.9269,-41.9394
-68.8624,63.5827,18.2774
39.0012,5.13308,37.4432
58.971,-31.78,-28.3288
-1.81675,-3.61392,1.77258
68.1351,-40.3789,56.3365
25.1128,-64.4733,-64.6974
-10.7156,42.0916,45.8466
23.4662,-3.55866,2.00515
15.0488,-25.0906,32.591
2.03104,-0.106489,1.57417
-17.976,43.1918,-35.8832
-55.3419,52.7778,-30.9562
42.9843,17.717,12.4926
-38.6355,-36.3667,10.7541
25.115,45.2616,49.244
22.5433,16.2998,-24.279
-33.4661,-23.0929,6.10175
8.68394,10.1767,3.08174
5.2067,7.00194,-4.02401
-5.8115,-13.246,-29.956
-38.6929,-56.0784,20.6901
22.1784,27.4508,16.5768
16.7958,16.3138,15.9822
0.00944517,0.00118084,-0.0291797
0.686243,-5.41327,1.939
8.0273,-41.5675,-2.13807
24.6965,21.7033,32.585
-2.53757,36.6361,-46.5194
-48.1904,53.2157,-36.0694
14.8144,-30.8524,-6.13793
-18.2387,18.8137,19.1021
33.6138,37.3255,-13.3109
3.56019,9.683,-1.24978
10.1245,-18.3509,26.4081
31.8747,-86.0111,-18.792
-3.26377,-0.105558,1.82849
-3.47652,3.46214,2.41201
-36.0125,-36.9019,10.829
0.316373,4.70279,3.79095
12.6845,87.5501,43.1708
-30.9114,-42.6807,-36.502
5.6686,-1.06512,-32.728
56.1252,51.5778,56.5765
50.5904,57.0417,-46.111
-47.213,67.1288,-16.1577
-9.84193,20.4936,-21.8915
9.36274,-13.45,12.4832
-25.1849,-45.6044,21.1085
10.5752,-12.2272,14.6062
-63.5128,-24.0771,-0.345639
3.59039,-8.64391,11.4848
-6.59113,27.9017,8.69483
4.79907,-10.1739,25.8457
-48.7153,12.1821,-48.0679
-41.9188,45.8616,50.6205
27.0226,16.0035,16.6044
