x-value, y-value
3.18728,1.14819
3.18828,1.14846
3.18928,1.14873
3.19028,1.14901
3.19128,1.14928
3.19228,1.14955
3.19328,1.14983
3.19428,1.1501
3.19528,1.15037
3.19628,1.15064
3.19728,1.15091
3.19828,1.15119
3.19928,1.15146
3.20028,1.15173
3.20128,1.152
3.20228,1.15227
3.20328,1.15254
3.20428,1.15281
3.20528,1.15308
3.20628,1.15335
3.20728,1.15362
3.20828,1.15389
3.20928,1.15416
3.21028,1.15443
3.21128,1.1547
3.21228,1.15497
3.21328,1.15524
3.21428,1.15551
3.21528,1.15578
3.21628,1.15605
3.21728,1.15632
3.21828,1.15659
3.21928,1.15686
3.22028,1.15712
3.22128,1.15739
3.22228,1.15766
3.22328,1.15793
3.22428,1.1582
3.22528,1.15846
3.22628,1.15873
3.22728,1.159
3.22828,1.15927
3.22928,1.15953
3.23028,1.1598
3.23128,1.16007
3.23228,1.16033
3.23328,1.1606
3.23428,1.16087
3.23528,1.16113
3.23628,1.1614
3.23728,1.16167
3.23828,1.16193
3.23928,1.1622
3.24028,1.16246
3.24128,1.16273
3.24228,1.16299
3.24328,1.16326
3.24428,1.16352
3.24528,1.16379
3.24628,1.16405
3.24728,1.16432
3.24828,1.16458
3.24928,1.16485
3.25028,1.16511
3.25128,1.16537
3.25228,1.16564
3.25328,1.1659
3.25428,1.16617
3.25528,1.16643
3.25628,1.16669
3.25728,1.16696
3.25828,1.16722
3.25928,1.16748
3.26028,1.16774
3.26128,1.16801
3.26228,1.16827
3.26328,1.16853
3.26428,1.16879
3.26528,1.16906
3.26628,1.16932
3.26728,1.16958
3.26828,1.16984
3.26928,1.1701
3.27028,1.17036
3.27128,1.17063
3.27228,1.17089
3.27328,1.17115
3.27428,1.17141
3.27528,1.17167
3.27628,1.17193
3.27728,1.17219
3.27828,1.17245
3.27928,1.17271
3.28028,1.17297
3.28128,1.17323
3.28228,1.17349
3.28328,1.17375
3.28428,1.17401
3.28528,1.17427
3.28628,1.17453
3.28728,1.17479
3.28828,1.17504
3.28928,1.1753
3.29028,1.17556
3.29128,1.17582
3.29228,1.17608
3.29328,1.17634
3.29428,1.1766
3.29528,1.17685
3.29628,1.17711
3.29728,1.17737
3.29828,1.17763
3.29928,1.17788
3.30028,1.17814
3.30128,1.1784
3.30228,1.17865
3.30328,1.17891
3.30428,1.17917
3.30528,1.17943
3.30628,1.17968
3.30728,1.17994
3.30828,1.18019
3.30928,1.18045
3.31028,1.18071
3.31128,1.18096
3.31228,1.18122
3.31328,1.18147
3.31428,1.18173
3.31528,1.18198
3.31628,1.18224
3.31728,1.18249
3.31828,1.18275
3.31928,1.183
3.32028,1.18326
3.32128,1.18351
3.32228,1.18377
3.32328,1.18402
3.32428,1.18428
3.32528,1.18453
3.32628,1.18478
3.32728,1.18504
3.32828,1.18529
3.32928,1.18554
3.33028,1.1858
3.33128,1.18605
3.33228,1.1863
3.33328,1.18656
3.33428,1.18681
3.33528,1.18706
3.33628,1.18731
3.33728,1.18757
3.33828,1.18782
3.33928,1.18807
3.34028,1.18832
3.34128,1.18857
3.34228,1.18883
3.34328,1.18908
3.34428,1.18933
3.34528,1.18958
3.34628,1.18983
3.34728,1.19008
3.34828,1.19033
3.34928,1.19058
3.35028,1.19084
3.35128,1.19109
3.35228,1.19134
3.35328,1.19159
3.35428,1.19184
3.35528,1.19209
3.35628,1.19234
3.35728,1.19259
3.35828,1.19284
3.35928,1.19309
3.36028,1.19334
3.36128,1.19358
3.36228,1.19383
3.36328,1.19408
3.36428,1.19433
3.36528,1.19458
3.36628,1.19483
3.36728,1.19508
3.36828,1.19533
3.36928,1.19557
3.37028,1.19582
3.37128,1.19607
3.37228,1.19632
3.37328,1.19657
3.37428,1.19681
3.37528,1.19706
3.37628,1.19731
3.37728,1.19756
3.37828,1.1978
3.37928,1.19805
3.38028,1.1983
3.38128,1.19854
3.38228,1.19879
3.38328,1.19904
3.38428,1.19928
3.38528,1.19953
3.38628,1.19978
3.38728,1.20002
3.38828,1.20027
3.38928,1.20051
3.39028,1.20076
3.39128,1.20101
3.39228,1.20125
3.39328,1.2015
3.39428,1.20174
3.39528,1.20199
3.39628,1.20223
3.39728,1.20248
3.39828,1.20272
3.39928,1.20297
3.40028,1.20321
3.40128,1.20346
3.40228,1.2037
3.40328,1.20394
3.40428,1.20419
3.40528,1.20443
3.40628,1.20468
3.40728,1.20492
3.40828,1.20516
3.40928,1.20541
3.41028,1.20565
3.41128,1.20589
3.41228,1.20614
3.41328,1.20638
3.41428,1.20662
3.41528,1.20686
3.41628,1.20711
3.41728,1.20735
3.41828,1.20759
3.41928,1.20783
3.42028,1.20808
3.42128,1.20832
3.42228,1.20856
3.42328,1.2088
3.42428,1.20904
3.42528,1.20928
3.42628,1.20953
3.42728,1.20977
3.42828,1.21001
3.42928,1.21025
3.43028,1.21049
3.43128,1.21073
3.43228,1.21097
3.43328,1.21121
3.43428,1.21145
3.43528,1.21169
3.43628,1.21193
3.43728,1.21217
3.43828,1.21241
3.43928,1.21265
3.44028,1.21289
3.44128,1.21313
3.44228,1.21337
