x-value, y-value
3.22228,1.15769
3.22328,1.15795
3.22428,1.15822
3.22528,1.15849
3.22628,1.15876
3.22728,1.15902
3.22828,1.15929
3.22928,1.15956
3.23028,1.15983
3.23128,1.16009
3.23228,1.16036
3.23328,1.16063
3.23428,1.16089
3.23528,1.16116
3.23628,1.16143
3.23728,1.16169
3.23828,1.16196
3.23928,1.16222
3.24028,1.16249
3.24128,1.16275
3.24228,1.16302
3.24328,1.16328
3.24428,1.16355
3.24528,1.16381
3.24628,1.16408
3.24728,1.16434
3.24828,1.16461
3.24928,1.16487
3.25028,1.16514
3.25128,1.1654
3.25228,1.16566
3.25328,1.16593
3.25428,1.16619
3.25528,1.16646
3.25628,1.16672
3.25728,1.16698
3.25828,1.16725
3.25928,1.16751
3.26028,1.16777
3.26128,1.16803
3.26228,1.1683
3.26328,1.16856
3.26428,1.16882
3.26528,1.16908
3.26628,1.16934
3.26728,1.16961
3.26828,1.16987
3.26928,1.17013
3.27028,1.17039
3.27128,1.17065
3.27228,1.17091
3.27328,1.17117
3.27428,1.17143
3.27528,1.1717
3.27628,1.17196
3.27728,1.17222
3.27828,1.17248
3.27928,1.17274
3.28028,1.173
3.28128,1.17326
3.28228,1.17352
3.28328,1.17378
3.28428,1.17404
3.28528,1.17429
3.28628,1.17455
3.28728,1.17481
3.28828,1.17507
3.28928,1.17533
3.29028,1.17559
3.29128,1.17585
3.29228,1.17611
3.29328,1.17636
3.29428,1.17662
3.29528,1.17688
3.29628,1.17714
3.29728,1.1774
3.29828,1.17765
3.29928,1.17791
3.30028,1.17817
3.30128,1.17843
3.30228,1.17868
3.30328,1.17894
3.30428,1.1792
3.30528,1.17945
3.30628,1.17971
3.30728,1.17997
3.30828,1.18022
3.30928,1.18048
3.31028,1.18073
3.31128,1.18099
3.31228,1.18125
3.31328,1.1815
3.31428,1.18176
3.31528,1.18201
3.31628,1.18227
3.31728,1.18252
3.31828,1.18278
3.31928,1.18303
3.32028,1.18329
3.32128,1.18354
3.32228,1.18379
3.32328,1.18405
3.32428,1.1843
3.32528,1.18456
3.32628,1.18481
3.32728,1.18506
3.32828,1.18532
3.32928,1.18557
3.33028,1.18583
3.33128,1.18608
3.33228,1.18633
3.33328,1.18658
3.33428,1.18684
3.33528,1.18709
3.33628,1.18734
3.33728,1.18759
3.33828,1.18785
3.33928,1.1881
3.34028,1.18835
3.34128,1.1886
3.34228,1.18885
3.34328,1.18911
3.34428,1.18936
3.34528,1.18961
3.34628,1.18986
3.34728,1.19011
3.34828,1.19036
3.34928,1.19061
3.35028,1.19086
3.35128,1.19112
3.35228,1.19137
3.35328,1.19162
3.35428,1.19187
3.35528,1.19212
3.35628,1.19237
3.35728,1.19262
3.35828,1.19287
3.35928,1.19312
3.36028,1.19336
3.36128,1.19361
3.36228,1.19386
3.36328,1.19411
3.36428,1.19436
3.36528,1.19461
3.36628,1.19486
3.36728,1.19511
3.36828,1.19536
3.36928,1.1956
3.37028,1.19585
3.37128,1.1961
3.37228,1.19635
3.37328,1.1966
3.37428,1.19684
3.37528,1.19709
3.37628,1.19734
3.37728,1.19759
3.37828,1.19783
3.37928,1.19808
3.38028,1.19833
3.38128,1.19857
3.38228,1.19882
3.38328,1.19907
3.38428,1.19931
3.38528,1.19956
3.38628,1.19981
3.38728,1.20005
3.38828,1.2003
3.38928,1.20055
3.39028,1.20079
3.39128,1.20104
3.39228,1.20128
3.39328,1.20153
3.39428,1.20177
3.39528,1.20202
3.39628,1.20226
3.39728,1.20251
3.39828,1.20275
3.39928,1.203
3.40028,1.20324
3.40128,1.20349
3.40228,1.20373
3.40328,1.20397
3.40428,1.20422
3.40528,1.20446
3.40628,1.20471
3.40728,1.20495
3.40828,1.20519
3.40928,1.20544
3.41028,1.20568
3.41128,1.20592
3.41228,1.20617
3.41328,1.20641
3.41428,1.20665
3.41528,1.20689
3.41628,1.20714
3.41728,1.20738
3.41828,1.20762
3.41928,1.20786
3.42028,1.20811
3.42128,1.20835
3.42228,1.20859
3.42328,1.20883
3.42428,1.20907
3.42528,1.20932
3.42628,1.20956
3.42728,1.2098
3.42828,1.21004
3.42928,1.21028
3.43028,1.21052
3.43128,1.21076
3.43228,1.211
3.43328,1.21124
3.43428,1.21148
3.43528,1.21172
3.43628,1.21196
3.43728,1.2122
3.43828,1.21244
3.43928,1.21268
3.44028,1.21292
3.44128,1.21316
3.44228,1.2134
3.44328,1.21364
3.44428,1.21388
3.44528,1.21412
3.44628,1.21436
3.44728,1.2146
3.44828,1.21484
3.44928,1.21508
3.45028,1.21531
3.45128,1.21555
3.45228,1.21579
3.45328,1.21603
3.45428,1.21627
3.45528,1.21651
3.45628,1.21674
3.45728,1.21698
3.45828,1.21722
3.45928,1.21746
3.46028,1.21769
3.46128,1.21793
3.46228,1.21817
3.46328,1.21841
3.46428,1.21864
3.46528,1.21888
3.46628,1.21912
3.46728,1.21935
3.46828,1.21959
3.46928,1.21983
3.47028,1.22006
3.47128,1.2203
3.47228,1.22053
3.47328,1.22077
3.47428,1.22101
3.47528,1.22124
3.47628,1.22148
3.47728,1.22171
3.47828,1.22195
3.47928,1.22218
3.48028,1.22242
3.48128,1.22265
3.48228,1.22289
3.48328,1.22312
3.48428,1.22336
3.48528,1.22359
3.48628,1.22383
3.48728,1.22406
3.48828,1.2243
3.48928,1.22453
3.49028,1.22476
3.49128,1.225
3.49228,1.22523
3.49328,1.22547
3.49428,1.2257
3.49528,1.22593
3.49628,1.22617
3.49728,1.2264
3.49828,1.22663
3.49928,1.22686
3.50028,1.2271
3.50128,1.22733
3.50228,1.22756
3.50328,1.2278
3.50428,1.22803
3.50528,1.22826
3.50628,1.22849
3.50728,1.22873
3.50828,1.22896
3.50928,1.22919
3.51028,1.22942
3.51128,1.22965
3.51228,1.22988
3.51328,1.23012
3.51428,1.23035
3.51528,1.23058
3.51628,1.23081
3.51728,1.23104
3.51828,1.23127
3.51928,1.2315
3.52028,1.23173
3.52128,1.23196
3.52228,1.23219
3.52328,1.23242
3.52428,1.23265
3.52528,1.23288
3.52628,1.23311
3.52728,1.23334
3.52828,1.23357
3.52928,1.2338
3.53028,1.23403
3.53128,1.23426
3.53228,1.23449
3.53328,1.23472
3.53428,1.23495
3.53528,1.23518
3.53628,1.23541
3.53728,1.23564
3.53828,1.23587
3.53928,1.2361
3.54028,1.23632
3.54128,1.23655
3.54228,1.23678
3.54328,1.23701
3.54428,1.23724
3.54528,1.23747
3.54628,1.23769
3.54728,1.23792
3.54828,1.23815
3.54928,1.23838
3.55028,1.2386
3.55128,1.23883
3.55228,1.23906
3.55328,1.23929
3.55428,1.23951
3.55528,1.23974
3.55628,1.23997
3.55728,1.24019
3.55828,1.24042
3.55928,1.24065
3.56028,1.24087
3.56128,1.2411
3.56228,1.24133
3.56328,1.24155
3.56428,1.24178
3.56528,1.242
3.56628,1.24223
